drone_id,px,py,pz
0,-10.0,30.0,-30.0
1,-7.5,30.0,-30.0
2,-5.0,30.0,-30.0
3,-2.5,30.0,-30.0
4,0.0,30.0,-30.0
5,2.5,30.0,-30.0
6,5.0,30.0,-30.0
7,7.5,30.0,-30.0
8,10.0,30.0,-30.0
9,10.0,50.0,-28.0
10,10.0,56.666666666666664,-28.0
11,10.0,63.333333333333336,-28.0
12,10.0,70.0,-28.0
13,-10.0,50.0,-27.0
14,-7.5,50.0,-27.0
15,-5.0,50.0,-27.0
16,-2.5,50.0,-27.0
17,0.0,50.0,-27.0
18,2.5,50.0,-27.0
19,5.0,50.0,-27.0
20,7.5,50.0,-27.0
21,10.0,50.0,-27.0
22,-10.0,30.0,-26.0
23,-10.0,36.66666666666667,-26.0
24,-10.0,43.333333333333336,-26.0
25,-10.0,50.0,-26.0
26,-10.0,70.0,-24.0
27,-7.5,70.0,-24.0
28,-5.0,70.0,-24.0
29,-2.5,70.0,-24.0
30,0.0,70.0,-24.0
31,2.5,70.0,-24.0
32,5.0,70.0,-24.0
33,7.5,70.0,-24.0
34,10.0,70.0,-24.0
